TimePeriod,GeoType,GeoID,GeoRank,Geography,10th percentile mcg/m3,90th percentile mcg/m3,Mean mcg/m3
Summer 2022,CD,211,6,Morris Park and Bronxdale (CD11),6.9,7.3,7.1
Summer 2022,CD,212,6,Williamsbridge and Baychester (CD12),7.0,7.2,7.1
Summer 2022,CD,301,6,Greenpoint and Williamsburg (CD1),7.0,7.5,7.2
Summer 2022,CD,302,6,Fort Greene and Brooklyn Heights (CD2),6.7,7.2,7.0
Summer 2022,CD,303,6,Bedford Stuyvesant (CD3),6.4,7.1,6.7
Summer 2022,CD,304,6,Bushwick (CD4),6.5,7.4,6.8
Summer 2022,CD,305,6,East New York and Starrett City (CD5),6.0,6.6,6.3
Summer 2022,CD,306,6,Park Slope and Carroll Gardens (CD6),6.6,7.2,6.9
Summer 2022,CD,307,6,Sunset Park (CD7),6.2,7.3,6.7
Summer 2022,CD,308,6,Crown Heights and Prospect Heights (CD8),6.4,6.9,6.6
Summer 2022,CD,309,6,South Crown Heights and Lefferts Gardens (CD9),6.2,6.4,6.3
Summer 2022,CD,310,6,Bay Ridge and Dyker Heights (CD10),5.9,6.5,6.2
Summer 2022,CD,311,6,Bensonhurst (CD11),5.9,6.1,6.0
Summer 2022,CD,312,6,Borough Park (CD12),6.1,6.3,6.2
Summer 2022,CD,313,6,Coney Island (CD13),5.7,5.9,5.8
Summer 2022,CD,314,6,Flatbush and Midwood (CD14),5.9,6.3,6.1
Summer 2022,CD,315,6,Sheepshead Bay (CD15),5.6,6.0,5.8
Summer 2022,CD,316,6,Brownsville (CD16),6.2,6.5,6.4
Summer 2022,CD,317,6,East Flatbush (CD17),6.1,6.4,6.2
Summer 2022,CD,318,6,Flatlands and Canarsie (CD18),5.6,6.2,5.9
Summer 2022,CD,401,6,Long Island City and Astoria (CD1),6.5,7.3,7.0
Summer 2022,CD,402,6,Woodside and Sunnyside (CD2),6.9,7.6,7.2
Summer 2022,CD,403,6,Jackson Heights (CD3),6.6,7.1,6.8
Summer 2022,CD,404,6,Elmhurst and Corona (CD4),6.6,7.1,6.8
Summer 2022,CD,405,6,Ridgewood and Maspeth (CD5),6.2,7.3,6.7
